"","year","price_cigs_20pk_1","price_cigs_20pk_2","price_cigs_20pk_3","price_cigs_20pk_4","price_cigs_20pk_5"
"1",2008,NA,NA,NA,5.67,NA
"2",2009,NA,NA,NA,5.98,NA
"3",2010,NA,NA,NA,6.29,NA
"4",2011,NA,NA,NA,6.445,NA
"5",2012,NA,NA,NA,6.6,NA
"6",2013,NA,NA,NA,7.06,NA
"7",2014,NA,NA,NA,7.52,NA
"8",2015,8.88,6.59188648722132,7.20108346927678,7.91,NA
"9",2016,9.3,6.9396664627515,7.58100394235998,8.3,NA
"10",2017,9.54,7.28195228384992,7.95492251223491,8.85,8.89
"11",2018,10.23,7.76214138118543,8.4794888526373,9.4,9.43382327952421
"12",2019,10.77,8.26705417346384,9.03106375747689,9.85,10.0130931300213
"13",2020,11.11,8.35331239804241,9.12529363784665,10.3,10.1158320492717
"14",2021,11.52,8.61593297988037,9.41218461120174,10.6251775848461,10.4351953341738
"15",2022,12.61,9.32687656334965,10.1888308863513,11.5031570639305,11.2974762034092
"16",2023,14.25,10.3894460304513,11.3495989668298,12.8119968429361,12.5829134251399
"17",2024,NA,11.5234395051659,12.5883917890158,NA,NA
